20,1,0,1280.05,12,6,5,440.78,134.41,18
20,2,0,1395.58,13,6,5,361.04,165.7,18
20,3,0,1614.69,11,7,5,496.8,618.31,18
20,4,0,1985.15,11,9,5,309.1,404.14,20
20,5,0,1321.31,13,6,5,248.35,90.01,19
20,6,0,1283.06,9,9,5,288.27,171.06,17
20,7,0,1392.61,9,10,5,430.11,194.86,19
20,8,0,1709.34,12,7,5,262.79,406.44,19
20,9,0,1991.43,7,12,5,164.19,893.76,18
20,10,0,1540.11,11,6,5,277.22,322.16,17
20,11,0,1668.32,12,6,5,343.68,468.83,18
20,12,0,2156.01,6,13,5,150.8,987.53,19
20,13,0,1286.11,14,4,5,427.78,42.53,18
20,14,0,1588.64,11,8,5,316.51,324.92,19
20,15,0,1749.82,9,10,5,189.36,257.5,19
20,16,0,1519.69,12,8,5,133.27,123.94,20
20,17,0,1318.91,11,8,5,346.74,149.81,19
20,18,0,1604.0,7,11,5,220.56,493.24,18
20,19,0,1618.75,10,10,5,294.66,388.23,20
20,20,0,1405.48,11,8,5,187.71,169.77,18
20,21,0,2198.74,9,10,5,347.15,1264.72,19
20,22,0,1477.82,11,7,5,390.28,67.68,17
20,23,0,1432.48,14,5,5,446.42,96.19,19
20,24,0,1840.36,7,13,5,90.56,792.73,19
20,25,0,1561.83,10,10,5,212.21,286.74,20
20,26,0,1305.14,14,5,5,594.84,15.31,19
20,27,0,2167.26,10,10,5,218.09,523.87,20
20,28,0,1486.28,9,8,5,234.94,479.05,17
20,29,0,1796.13,9,10,5,208.38,744.87,18
20,30,0,1597.69,8,9,5,354.96,205.06,17
20,31,0,1782.53,8,12,5,209.16,314.31,20
20,32,0,1510.65,12,4,5,596.49,360.3,15
20,33,0,1472.58,11,9,5,152.14,230.56,20
20,34,0,1375.87,13,7,5,481.32,184.3,19
20,35,0,1692.72,10,10,5,197.6,399.45,19
20,36,0,1384.51,11,9,5,284.06,149.66,20
20,37,0,1518.14,3,16,5,27.98,733.89,19
20,38,0,1719.42,6,12,5,88.09,687.49,18
20,39,0,1675.93,9,9,5,187.46,350.26,18
20,40,0,2211.13,10,10,5,179.49,1439.26,19
20,41,0,1335.3,15,4,5,467.63,20.81,19
20,42,0,1335.44,9,11,5,127.63,180.96,20
20,43,0,1584.36,5,14,5,40.09,446.29,19
20,44,0,1301.58,12,7,5,666.71,88.29,19
20,45,0,1647.92,4,15,5,103.51,500.78,18
20,46,0,1630.48,10,8,5,188.05,423.79,18
20,47,0,1519.51,8,11,5,272.15,395.58,19
20,48,0,1360.74,14,5,5,349.77,52.88,19
20,49,0,1529.69,7,11,5,187.91,473.54,18
20,50,0,1868.28,7,12,5,262.72,567.42,19
20,51,0,1800.06,12,8,5,292.29,498.26,20
20,52,0,1725.9,6,12,5,101.72,1082.67,18
20,53,0,2171.56,6,12,5,188.07,1229.38,18
20,54,0,1495.04,4,15,5,48.08,594.99,19
20,55,0,1561.81,13,6,5,200.78,330.78,18
20,56,0,1817.5,8,11,5,171.65,847.62,18
20,57,0,1388.75,10,9,5,153.5,165.38,18
20,58,0,1734.04,11,9,5,199.1,410.71,20
20,59,0,1316.79,8,11,5,162.21,249.32,18
20,60,0,1598.91,6,14,5,70.24,609.74,20
20,61,0,1331.47,5,12,5,20.91,383.0,16
20,62,0,1422.01,12,7,5,505.46,219.13,18
20,63,0,1317.19,10,10,5,274.76,191.27,19
20,64,0,1584.57,7,11,5,245.54,184.44,17
20,65,0,1728.45,9,9,5,271.01,314.45,18
20,66,0,1329.05,11,7,5,470.05,138.63,18
